Index,dt,customer_type,trigger_type,n_triggered
10561,19/10/22,0,scheduled,5959
10562,19/10/22,2,scheduled,1234
10563,19/10/22,3,scheduled,25
10656,20/10/22,1,scheduled,5694
10657,20/10/22,0,scheduled,6371
10658,20/10/22,2,scheduled,1381
10659,20/10/22,3,scheduled,26
10752,21/10/22,1,scheduled,5563
10753,21/10/22,0,scheduled,6561
10754,21/10/22,2,scheduled,1186
10755,21/10/22,3,scheduled,25
10848,22/10/22,1,scheduled,5608
10849,22/10/22,0,scheduled,5746
10850,22/10/22,2,scheduled,1253
10851,22/10/22,3,scheduled,25
10944,23/10/22,1,scheduled,5481
10945,23/10/22,0,scheduled,5300
10946,23/10/22,2,scheduled,1049
10947,23/10/22,3,scheduled,22
11040,24/10/22,1,scheduled,4978
11041,24/10/22,0,scheduled,4886
11042,24/10/22,2,scheduled,1112
11043,24/10/22,3,scheduled,25
11136,25/10/22,1,scheduled,5543
11137,25/10/22,0,scheduled,5230
11138,25/10/22,2,scheduled,1098
11139,25/10/22,3,scheduled,26
11232,26/10/22,1,scheduled,5296
11233,26/10/22,0,scheduled,5659
11234,26/10/22,2,scheduled,1056
11235,26/10/22,3,scheduled,25
11328,27/10/22,1,scheduled,5343
11329,27/10/22,0,scheduled,5507
11330,27/10/22,2,scheduled,1090
11331,27/10/22,3,scheduled,27
11424,28/10/22,1,scheduled,5659
11425,28/10/22,0,scheduled,5173
11426,28/10/22,2,scheduled,1056
11427,28/10/22,3,scheduled,28
11520,29/10/22,1,scheduled,5977
11521,29/10/22,0,scheduled,5345
11522,29/10/22,2,scheduled,1073
11523,29/10/22,3,scheduled,25
11616,30/10/22,1,scheduled,5295
11617,30/10/22,0,scheduled,4980
11618,30/10/22,2,scheduled,1098
11619,30/10/22,3,scheduled,26
11712,31/10/22,1,scheduled,5180
11713,31/10/22,0,scheduled,5272
11714,31/10/22,2,scheduled,1093
11715,31/10/22,3,scheduled,24
11808,01/11/22,1,scheduled,5436
11809,01/11/22,0,scheduled,5255
11810,01/11/22,2,scheduled,1118
11811,01/11/22,3,scheduled,24
11904,02/11/22,1,scheduled,5465
11905,02/11/22,0,scheduled,5277
11906,02/11/22,2,scheduled,1063
11907,02/11/22,3,scheduled,24
12000,03/11/22,1,scheduled,5467
12001,03/11/22,0,scheduled,5229
12002,03/11/22,2,scheduled,1061
12003,03/11/22,3,scheduled,30
12096,04/11/22,1,scheduled,5325
12097,04/11/22,0,scheduled,5502
12098,04/11/22,2,scheduled,1058
12099,04/11/22,3,scheduled,35
12192,05/11/22,1,scheduled,5390
12193,05/11/22,0,scheduled,5234
12194,05/11/22,2,scheduled,1094
12195,05/11/22,3,scheduled,30
12288,06/11/22,1,scheduled,5511
12289,06/11/22,0,scheduled,5024
12290,06/11/22,2,scheduled,1015
12291,06/11/22,3,scheduled,29
12388,07/11/22,1,scheduled,5354
12389,07/11/22,0,scheduled,4941
12390,07/11/22,2,scheduled,996
12391,07/11/22,3,scheduled,24
12484,08/11/22,1,scheduled,5324
12485,08/11/22,0,scheduled,5073
12486,08/11/22,2,scheduled,1091
12487,08/11/22,3,scheduled,27
